0,414;1,000;2,292;4,062;6,225;8,731;
11,547;14,650;18,019;21,639;25,497;29,581;
33,883;38,393;43,103;48,008;53,100;58,374;
63,825;69,448;75,239;81,194;87,309;93,580;
100,004;106,578;113,300;120,165;127,173;134,320;
141,604;149,022;156,573;164,255;172,065;180,002;
188,064;196,250;204,557;212,984;221,530;230,193;
238,972;247,865;256,871;265,989;275,217;284,555;
294,001;303,555;313,214;322,979;332,847;342,819;
352,892;363,067;373,342;383,716;394,189;404,759;
415,426;426,190;437,048;448,001;459,048;470,187;
481,420;492,743;504,158;515,663;527,257;538,941;
